num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,total_energy_consumption,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking
1,1728000,726750000,1062400000,0,10,5,5,0,0,500000,1,0.9,70.1745390892029,702971,697355469,3740879838,3720230734,67365512,2058740454,67537037,692235406,3685281254,26558,27860711042,9050552593,11858,11858,13215,13215,13926,160,0,130596,128954,0,16871,2,1633,1643,1642,10,1631,17089485600,20952,1642,20952
3,1728000,1300500000,1062400000,0,10,50,5,0,0,500000,0,0.9,49.3375287055969,831420,566161846,3808820632,3802558140,60557345,2115539458,60735045,571400836,3862328353,13722,57923862651,9185251810,11997,11997,20441,20441,20895,3,2767,96057,94865,0,19394,3659,1183,1193,1192,246,1181,34160489280,12619,1192,12619
3,1267200,1300500000,800000000,0,10,5,5,0,1,950000,0,-1,61.1825029850006,866825,712154789,4697985448,4690236767,70656324,2644684541,70980779,717092320,4736521938,18394,66960868010,11316121473,17861,17861,30301,30301,30862,7,3582,116758,115278,0,28260,4615,1471,1481,1480,303,1469,53763179232,16889,1480,16889
1,652800,1300500000,1062400000,0,10,5,5,0,0,500000,0,-1,52.3503704071045,848340,526231991,3046290746,3000701372,54326114,1640932352,54884515,537646614,3051455456,15968,24735489523,7283341210,6688,6688,9256,9256,9549,3,0,95031,93767,0,11283,1,1255,1265,1264,6,1253,13285998976,14254,1264,14254
2,1113600,1300500000,1600000000,0,10,50,5,0,1,500000,1,0.9,41.4553413391113,788631,465967105,3094877869,3121033337,53752121,1683592334,53761117,474233240,3130894169,14575,40151210314,7294305302,8671,8671,12676,12676,13071,3,2106,82248,81248,0,10886,2466,991,1001,1000,166,990,22168771808,10544,1000,10544
3,2035200,726750000,1866000000,0,10,5,5,3,0,500000,0,-1,53.1481153964996,750732,595466848,3937775078,4072070917,61122435,2318876115,60425635,592096398,4028401430,12076,54634790873,9489861956,9639,9639,17467,17467,17922,4,2322,101343,100055,0,17993,3302,1279,1289,1288,277,1277,27952566496,11223,1288,11223
3,1881600,726750000,800000000,0,10,5,5,0,1,950000,1,0.5,67.8775506019592,696957,775697202,4846928207,4895444963,74716090,2774422849,74903914,765732354,4854062491,18436,88872632281,11515942434,16092,16092,28425,28425,29041,4,3405,128049,126413,0,27952,4960,1627,1637,1636,347,1625,47724666624,16845,1636,16845
2,345600,624750000,665600000,0,10,50,5,0,0,500000,0,-1,134.913598060608,986145,1401666557,8624358760,8701770640,118382102,5406875673,118117842,1394730259,8591398200,40689,80316449432,22228548811,22557,22557,34593,34593,35889,5,6519,231520,228276,0,35302,7628,3235,3245,3244,458,3233,54634440576,32318,3244,32318
2,499200,1032750000,800000000,0,10,50,5,3,0,500000,0,0.5,60.4460356235504,762834,693188279,4296108160,4395570319,68787200,2423650673,68051410,676628944,4297059706,20115,77584738222,10165285333,15223,15223,22179,22179,22782,0,2540,111930,110474,0,15889,3973,1447,1457,1456,239,1445,39350781792,16681,1456,16681
4,960000,1032750000,1331200000,0,10,50,5,3,0,950000,1,0.9,56.6158039569855,722415,633119978,5489000290,5527093021,64059372,3766739476,64566692,624655864,5497368169,16316,25290576366,14317068622,10326,10326,19922,19922,20443,108,4102,112594,111222,0,32953,4461,1363,1373,1372,301,1361,27045040960,15905,1372,15905
2,1420800,624750000,1600000000,0,10,50,5,0,1,950000,0,0.5,63.7537753582001,707290,726454465,4541550533,4480301379,67775539,2408572486,68417270,729417633,4534487334,19184,44765013840,10698634311,12102,12102,18893,18893,19479,11,3014,116736,115196,0,13854,3698,1531,1541,1540,225,1529,32245417952,15480,1540,15480
3,1420800,1032750000,1600000000,0,10,50,5,0,0,950000,1,0.5,45.1147985458374,704030,517259781,3550450644,3589920464,55364152,2016489509,55042704,518128434,3539400960,11354,45228488822,8419016023,8337,8337,14581,14581,14934,9,2302,88932,87836,0,16907,2885,1087,1097,1096,210,1085,24707071168,9489,1096,9489
2,652800,930750000,1062400000,0,10,50,5,0,0,950000,1,0.5,56.8837881088257,705450,660885391,4119956473,4167511385,66912919,2288232120,66813071,643447253,4070733279,21403,63796607915,9522045368,14850,14850,21332,21332,21876,0,2591,108431,107059,0,12807,4093,1363,1373,1372,235,1361,37740361472,16226,1372,16226
3,1574400,1134750000,1600000000,0,10,50,5,0,1,950000,1,0.9,44.4669213294983,711596,503986172,3517849562,3504955887,55901438,1965950986,56197760,508051297,3529329743,12128,39114771913,8368429943,9021,9021,15188,15188,15533,7,2379,88058,86986,0,17315,2962,1063,1073,1072,198,1061,25367782016,10244,1072,10244
3,1113600,828750000,665600000,0,10,50,5,3,0,500000,1,-1,72.646162033081,716560,824982960,5325368798,5306839721,78915981,2988274675,78929471,833341854,5347302364,21351,88916417105,12692304648,21140,21140,35784,35784,36428,0,4121,136853,135097,0,29897,6046,1747,1757,1756,384,1745,63298274176,19658,1756,19658
3,1420800,930750000,1331200000,0,10,50,5,3,0,500000,1,0.5,54.0612959861755,668164,581857131,4783216190,4799893717,58490009,3141792012,58523558,575357035,4797259235,16149,24959922750,12402829198,7445,7445,14018,14018,14474,72,3813,105325,104025,0,21860,3540,1291,1301,1300,221,1289,18374904320,13353,1300,13353
1,652800,1300500000,1062400000,0,10,5,5,0,0,500000,0,-1,54.099023103714,864129,548046279,3145739983,3091859094,56515108,1675675163,57129427,548746926,3130991957,15551,26976468857,7663544069,7120,7120,9747,9747,10121,1,0,98439,97127,0,11230,0,1303,1313,1312,4,1301,14371356832,14386,1312,14386
2,499200,1032750000,1866000000,0,10,50,5,3,0,950000,0,0.5,44.2359974384308,764178,498631196,3303544388,3358885733,56683271,1903459823,56686328,495019859,3341781550,13346,44379372288,7927917476,8656,8656,13217,13217,13600,6,2170,84849,83777,0,6718,2648,1063,1073,1072,147,1061,22407440768,11039,1072,11039
3,960000,828750000,800000000,0,10,50,5,0,1,500000,1,-1,70.1342744827271,724512,738171060,5679871825,5629697736,71446533,3678064149,71941198,747306645,5666667226,20681,48369518572,14496949170,11752,11752,21166,21166,21808,87,4390,137235,135575,0,28338,5142,1651,1661,1660,377,1649,28796627520,18131,1660,18131
