num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,total_energy_consumption,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking
1.0,1267200,1032750000,1062400000,0,60,5,50,3,0,950000,1,-1.0,17.0236592292786,193554,211950045,1607695332,1609593792,35278841,858206359,34680913,204869778,1603626534,9723,8877215178,3698203088,4249,4249,4745,4745,4893,36,0,43885,43461,0,6017,9,415,425,424,5,413,6776529920,7586,424,7586
3.0,1574400,930750000,1331200000,0,60,5,50,3,1,950000,1,0.5,13.744206190109301,172095,198471829,1826115840,1829878849,34458630,898480254,34865255,206745060,1835739372,6084,21230166297,4030739291,4952,4952,7499,7499,7613,42,787,37784,37444,0,6970,1228,331,341,340,88,329,13484346720,5381,340,5381
2.0,1881600,930750000,1866000000,0,10,50,5,3,1,500000,0,0.9,12.6335060596466,197480,180191486,1681663601,1708778873,33886437,859546181,33800433,179859739,1665076248,6367,20309995549,3717183109,5690,5690,5711,5711,5841,0,530,35224,34908,0,2881,895,307,317,316,53,305,10800436160,5556,316,5556
4.0,1267200,624750000,1331200000,0,60,50,5,0,0,950000,0,0.9,17.8062360286713,174197,219476101,2241662206,2224501172,33922543,1364138554,33724513,221342382,2215467615,4990,9975393872,5474758728,3052,3052,5643,5643,5788,14,1109,45478,45042,0,9090,1372,427,437,436,110,425,8248611872,4878,436,4878
4.0,345600,1134750000,1866000000,0,60,5,5,0,0,950000,0,-1.0,26.326617002487197,291809,332151080,2954456693,2970482180,44980262,1865928729,45158553,329324571,2952530295,14024,11310372983,7334085486,11089,11089,18913,18913,19159,0,2407,61735,61095,0,31883,2792,631,641,640,209,629,32830905856,14181,640,14181
3.0,1267200,1300500000,800000000,0,10,5,5,0,1,950000,0,-1.0,18.312539577484102,240441,258455751,2242562156,2257815870,39983862,1186029137,39841935,262112819,2247725527,12189,32132198876,4958768793,14002,14002,12978,12978,13163,21,1238,45688,45240,0,9279,1856,439,449,448,103,437,25174298144,12200,448,12200
2.0,1574400,930750000,1062400000,0,60,50,5,3,1,950000,0,0.5,14.717486143112199,172604,197856594,1749634164,1758722025,35541978,938639252,35077589,194497799,1711787249,6310,17427394858,3840138325,4519,4519,6490,6490,6653,34,739,38494,38130,0,2646,1094,355,365,364,64,353,11285586720,5580,364,5580
1.0,2035200,1300500000,1062400000,0,60,5,5,3,0,500000,0,0.5,17.2202949523926,142381,166818927,1622426902,1631455905,33985351,771415105,33929025,163694706,1597713941,9382,22614310028,3426074744,6749,6749,7516,7516,7666,0,0,34217,33961,0,6145,1,247,257,256,6,245,11387513856,8372,256,8372
1.0,960000,1032750000,1600000000,0,10,50,5,0,0,500000,1,-1.0,15.7826838493347,144497,170445015,1602031829,1590150752,33488416,762823430,33366099,168337821,1575021343,9845,16955459983,3381962117,5681,5681,6000,6000,6134,2,0,38241,37961,0,5821,10,271,281,280,4,269,8545442240,7487,280,7487
3.0,1728000,726750000,1062400000,0,60,5,50,0,0,500000,1,0.5,15.6895377635956,165958,207090973,1811110863,1813053369,34902338,986380400,34569318,203143750,1790363043,4805,19659715195,4049195623,4453,4453,6872,6872,7001,0,816,40949,40561,0,6820,1252,379,389,388,75,377,11676207744,4591,388,4591
3.0,1728000,930750000,1331200000,0,10,50,5,0,1,950000,0,0.9,13.2403852939606,168154,179588014,1649583552,1704566456,33131143,921312334,32339779,181146025,1694817789,4722,15245889291,3809542703,5974,5974,5432,5432,5549,1,678,36638,36310,0,5511,925,319,329,328,64,317,9127241344,6193,328,6193
2.0,652800,726750000,1062400000,0,60,50,50,3,0,500000,0,0.5,16.4226059913635,165387,212388591,1805651044,1788121601,35166288,921272576,35123862,212245851,1815581295,6027,18710015090,4092927429,4770,4770,6832,6832,6984,0,884,41079,40679,0,3588,1150,391,401,400,64,389,12148223360,5098,400,5098
1.0,345600,1236750000,1866000000,0,100,50,5,3,1,950000,0,-1.0,15.049458026886,155001,160082420,1575778571,1582959846,33762829,758105686,33280257,161503198,1561319991,8770,16221752650,3337457661,5400,5400,6518,6518,6655,36,0,31814,31564,0,5798,2,241,251,250,5,239,9686984960,7432,250,7432
4.0,2035200,726750000,800000000,0,10,50,50,3,0,950000,0,0.9,17.6690711975098,186716,247333191,2048132220,2019083455,38071742,1025830457,38200771,234438139,1995897754,5185,37267009093,4400523520,9024,9024,10109,10109,10241,34,779,44984,44548,0,9348,1343,427,437,436,113,425,18465266432,8373,436,8373
3.0,2035200,726750000,665600000,0,60,5,5,3,0,500000,1,0.9,19.1771900653839,188019,243518284,2029190048,2063653938,38384906,1142801283,38396166,246770930,2039181365,6587,35522837532,4706364750,6653,6653,10352,10352,10552,3,1033,47128,46656,0,9535,1762,463,473,472,116,461,17545506144,6188,472,6188
3.0,499200,1134750000,1600000000,0,60,5,50,0,1,950000,0,0.5,13.854265689849901,186225,193391333,1822850439,1794893326,33521044,925667275,33755761,192865379,1823977187,5580,8845862791,4084867315,4127,4127,6520,6520,6677,0,961,37579,37239,0,8656,1117,331,341,340,56,329,11164432768,5057,340,5057
2.0,806400,726750000,1600000000,0,60,5,50,0,1,500000,0,0.5,14.4251449108124,170752,201196475,1766447725,1779563168,34583286,890104482,33936435,198413008,1736361876,5505,22725333720,3801372350,4898,4898,6419,6419,6561,21,720,37555,37203,0,3171,990,343,353,352,70,341,12101436480,4751,352,4751
2.0,1574400,828750000,800000000,0,100,5,5,3,1,500000,0,0.5,16.6243641376495,182960,211370738,1780064290,1815047977,36116449,978498420,36088206,208951802,1759700635,6042,23238859138,4083498892,4547,4547,6326,6326,6491,0,682,41975,41563,0,3832,1141,403,413,412,64,401,11521709664,4960,412,4960
1.0,652800,624750000,1331200000,0,10,5,50,0,0,950000,1,0.5,25.6126635074615,134662,235311980,1948585664,1961425513,40046986,963699523,39624588,226511681,1938687466,17209,20184276742,4209011532,9806,9806,9060,9060,9267,4,0,52169,51781,0,9340,0,379,389,388,13,377,13070538944,12017,388,12017
1.0,1728000,1236750000,1866000000,0,60,5,50,3,1,950000,1,0.9,15.062848567962599,203991,183714395,1656660945,1639828486,34598489,805210245,34864170,183417462,1683511495,10688,15568323888,3646937984,5830,5830,6211,6211,6368,4,0,40555,40233,0,6753,0,313,323,322,2,311,9276493056,8482,322,8482
4.0,960000,726750000,665600000,0,100,50,5,3,0,950000,0,0.5,19.1215929985046,182464,261825247,2162666818,2141991692,39835096,1074131573,39224183,261449404,2120353227,5844,39751368111,4554896704,8309,8309,13566,13566,13722,36,930,47730,47258,0,10305,1692,463,473,472,121,461,25482501984,6482,472,6482
3.0,1728000,1134750000,800000000,0,60,5,50,0,1,500000,1,0.9,15.425198316574098,193537,194260224,1773279055,1760237830,34323216,969683807,34650544,200053793,1806519318,4836,21376559835,4085412818,4563,4563,7040,7040,7164,23,821,40168,39792,0,7476,1266,367,377,376,68,365,12506431584,4534,376,4534
2.0,1113600,1236750000,665600000,0,10,50,5,0,1,950000,1,-1.0,21.3280909061432,229307,282462325,2248238535,2220566111,41247100,1154883946,41468726,291916452,2255033744,15871,24334084530,5068267127,16031,16031,11231,11231,11427,7,1121,51049,50529,0,5353,1698,511,521,520,113,509,22320283072,15467,520,15467
2.0,1420800,1300500000,1062400000,0,10,50,50,0,0,950000,0,-1.0,13.4389200210571,206550,178996662,1607794953,1634932576,33262257,841937445,32871754,178756004,1623830093,6109,17603317591,3629314181,5000,5000,5333,5333,5466,0,573,36164,35836,0,2571,943,319,329,328,57,317,9547416384,5219,328,5219
3.0,1267200,1134750000,1866000000,0,10,50,5,3,1,950000,0,-1.0,11.045028448104901,198479,161868936,1578702328,1534259997,32083920,787796178,32595810,166996763,1608939065,4850,12839176317,3667806653,5022,5022,4669,4669,4768,35,652,33413,33133,0,4756,894,271,281,280,47,269,7593076384,5895,280,5895
3.0,1420800,1236750000,1331200000,0,10,5,50,0,0,950000,0,0.5,12.074559211731,191015,165095332,1603681225,1613459983,32326281,863272556,31740958,169555082,1646212723,4111,13575668276,3718009480,6412,6412,5234,5234,5338,20,682,35077,34773,0,4567,991,295,305,304,52,293,8882105920,6719,304,6719
1.0,1728000,1236750000,1866000000,0,60,50,50,3,1,950000,1,0.9,15.9189989566803,198141,191865514,1739963295,1740807725,36625816,840324321,36049757,194823048,1713717245,13449,16882027919,3752884198,6487,6487,7123,7123,7305,43,0,42205,41883,0,8205,5,313,323,322,8,311,10022373376,10185,322,10185
1.0,1420800,828750000,1866000000,0,10,50,5,3,0,500000,1,0.9,19.4788019657135,228736,232484691,1737574817,1675883212,37660914,906719092,37890639,235975504,1721382684,9754,8969357144,4015115852,4302,4302,4673,4673,4884,35,0,48536,48052,0,6097,4,475,485,484,7,473,6532856416,7694,484,7694
3.0,1574400,1300500000,1600000000,0,10,50,50,0,1,500000,1,0.9,11.221617937088,200995,167615648,1680587452,1658699362,31577557,811491276,31898192,170215635,1659461129,5602,16586224077,3647427531,4782,4782,5801,5801,5893,3,675,33683,33403,0,5894,979,271,281,280,40,269,10580183648,4632,280,4632
4.0,1113600,624750000,1331200000,0,60,50,5,0,0,500000,1,-1.0,17.5828840732574,172587,215854475,2211808783,2187189562,33497910,1378116200,34293195,215918323,2222269962,4847,9461490761,5493523121,3063,3063,6022,6022,6168,0,1149,45341,44905,0,9625,1328,427,437,436,113,425,8836558720,4739,436,4739
1.0,2035200,1300500000,665600000,0,100,50,5,3,1,950000,1,-1.0,24.1411817073822,146142,201037216,1818434414,1817457922,38595593,895477821,38400360,210823466,1817656786,16186,28947056603,3949093390,9414,9414,9793,9793,9999,0,0,46250,45916,0,10026,1,325,335,334,4,323,14319833728,12780,334,12780
3.0,1728000,1032750000,1600000000,0,10,50,5,0,1,950000,0,0.9,11.790329933166499,181942,174803927,1647254388,1639154739,32152997,792704558,31695119,170836914,1597493579,5135,20344071540,3487447598,5203,5203,5662,5662,5757,0,615,34031,33739,0,5409,821,283,293,292,57,281,10155678176,4812,292,4812
3.0,806400,1236750000,1062400000,0,60,50,5,0,1,500000,0,0.9,17.1321918964386,208407,220212713,2045658238,2030012036,34803034,1206782397,34733346,215989041,2042558549,7401,9110423020,4873094724,4483,4483,7413,7413,7597,0,1271,43538,43114,0,11371,1323,415,425,424,86,413,11629992160,6611,424,6611
