,num_cores,core_freq,gpu_freq,emc_freq,cache_pressure,swappiness,dirty_ratio,dirty_bg_ratio,drop_caches,policy,sched_rt_runtime,sched_child_runs_first,memory_growth,inference_time,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,branch-load-misses,branch-loads,branch-misses,cache-misses,cache-references,context-switches,cycles,instructions,irq_handler_entry,irq_handler_exit,softirq_entry,softirq_exit,softirq_raise,major-faults,migrations,sys_enter,sys_exit,sched_boost_cpu,sched_boost_task,sched_migrate_task,sched_process_exec,sched_process_exit,sched_process_fork,sched_process_free,sched_process_wait,sched_stat_runtime,sched_wakeup,sched_wakeup_new,sched_waking,total_energy_consumption
0,4,499200,675750000,1600000000,100,10,50,80,0,1,950000,0,0.5,11.190446211769709,334647431,737754513,696865005,46026406,1112329257,73782098,324864331,483058281,2832,7873857206,3230822831,1753,1753,2484,2484,2510,41,396,28262,28078,2432,1600,332,175,185,184,23,173,4199985632,3922,368,4445,29974
1,3,1420800,318750000,408000000,0,10,50,10,3,1,500000,1,-1.0,26.10223621754526,550241983,1011024094,971700469,61926885,1581070791,92034195,541557189,661975877,7159,23637349480,4445244077,6642,6642,8147,8147,8255,41,786,42864,42488,5959,5544,576,367,377,376,84,365,13425815264,7984,752,9813,61832
2,2,268800,1032750000,1866000000,100,100,5,80,0,1,950000,0,0.9,13.576797125404621,334049072,715623047,688069906,47914606,1112846643,65262410,335319171,476873981,2731,7514725217,3175476523,1484,1484,2211,2211,2235,41,335,27080,26908,2196,1698,222,163,173,172,16,161,3969007264,3816,344,3922,26314
3,3,1420800,114750000,1600000000,100,10,5,80,3,1,950000,0,-1.0,41.742097411123,580351232,1072924169,1036667200,85869935,1594204369,131411761,580178982,710342994,5558,12675396211,4657629896,3503,3503,4690,4690,4786,42,786,51482,50962,4182,4445,900,511,521,520,66,509,6932015232,7513,1040,8469,72769
4,2,1036800,420750000,204000000,0,60,5,80,0,1,500000,0,0.9,46.15179294895803,866735297,1415591053,1357809267,97216917,2493708262,136220368,856788540,943030273,13826,69114236847,6431820254,15923,15923,23885,23885,24136,41,2657,66137,65473,18097,12737,2899,655,665,664,214,653,44923785248,17170,1328,17586,122735
5,4,1420800,905250000,665600000,0,10,5,10,3,1,500000,0,0.5,14.811523775737854,401588545,793887194,758464276,49789880,1164956610,70359758,396071954,528181378,2977,12436036642,3533270627,2019,2019,3949,3949,3990,41,415,31259,31039,3362,1971,406,211,221,220,43,209,6781489728,3750,440,4838,37906
6,2,499200,1198500000,204000000,0,60,50,80,3,0,950000,1,-1.0,51.65175493639289,784926010,1344536488,1269522218,87726522,2294611022,129459746,778653601,889844960,10601,60101811066,6142166035,12733,12733,21499,21499,21727,0,2724,64371,63731,17041,10675,2516,631,641,640,215,629,38982064192,12862,1280,13778,107520
7,3,1113600,420750000,408000000,100,10,5,10,3,0,950000,0,0.5,22.692801151708114,475831091,913481396,855273230,52125309,1379666871,70590045,478403639,598942845,4121,20010227617,4071257932,4260,4260,6364,6364,6464,0,645,39584,39256,4675,4041,614,319,329,328,69,317,11084111680,4846,656,5849,56192
8,3,1190400,1377000000,665600000,100,10,50,10,3,0,950000,1,0.5,13.88905151128122,375751819,787833868,732424541,39686390,1153576181,57026629,381607138,507817869,2137,11603007972,3358959829,1844,1844,3596,3596,3653,0,466,31252,31032,2821,1679,438,211,221,220,44,209,6190108128,2754,440,3163,37283
9,4,499200,828750000,1866000000,100,100,50,80,0,0,950000,1,0.5,14.246745168771382,333180291,724183542,680001760,38877297,1026974486,50497190,334841269,464654358,1434,6627279081,3026150050,1199,1199,2091,2091,2118,0,287,27154,26982,1654,1464,289,163,173,172,20,161,3521687424,1819,344,2137,28298
10,2,1804800,114750000,1600000000,100,60,5,80,0,1,950000,0,0.5,38.00237190033999,670662717,1186945918,1158799624,77186973,1702480745,127958164,650627864,787858574,15611,13286295526,5175505295,13522,13522,4723,4723,4813,41,639,51437,50917,4130,14908,569,511,521,520,56,509,7635407424,17383,1040,18533,73239
11,2,1190400,828750000,1065600000,100,100,5,80,3,0,950000,0,0.5,13.036629718582667,357693160,780065845,738876555,39447216,1104659151,59374123,364119579,491620024,2671,8713414591,3271017786,2152,2152,3090,3090,3138,0,400,30017,29809,2060,2370,317,199,209,208,29,197,4899692928,3120,416,3435,33032
12,4,2265600,675750000,800000000,100,100,50,80,0,0,950000,1,0.5,14.754273868405956,361241575,754379398,716609878,42825578,1087613401,55620448,357417735,491723525,1716,9889768397,3246494758,1757,1757,3237,3237,3281,0,253,29985,29777,1912,1377,305,199,209,208,33,197,5183527840,2116,416,2747,36835
13,4,1881600,114750000,408000000,500,10,50,80,0,0,950000,0,-1.0,44.158662773368654,715421800,1199619935,1167698749,70784851,1913915348,107314243,707850386,779566570,5919,29588531053,5332842251,5803,5803,9843,9843,9997,0,624,60262,59646,6196,5852,963,607,617,616,119,605,16606576640,7374,1232,9479,100216
14,2,1267200,1338750000,1866000000,100,10,5,10,3,0,500000,1,0.5,13.36547334406709,324805604,716505157,685697126,40444218,1041238113,55715963,327398418,480459517,1617,6574390640,3098403764,1241,1241,2345,2345,2388,0,331,27432,27260,1587,1546,297,163,173,172,24,161,3721804544,1961,344,2367,24638
15,3,1804800,905250000,1331200000,0,10,5,80,0,1,950000,1,0.9,10.309094406687258,319698125,718654716,695031281,38907669,1038538458,58650359,324418588,474302064,2207,7691902522,3152640467,1273,1273,2415,2415,2435,42,258,27358,27186,2123,1605,306,163,173,172,24,161,4105890464,2698,344,3877,29668
